company_id,year,category,detail
CHOLAFIN,2020-03,OPM_CROSSCHECK_MISMATCH,source=1699.0,computed=27.79
CHOLAFIN,2020-03,ICR_DEBT_FREE,interest=0.0
CHOLAFIN,2021-03,OPM_CROSSCHECK_MISMATCH,source=2094.0,computed=30.40
CHOLAFIN,2022-03,OPM_CROSSCHECK_MISMATCH,source=2924.0,computed=28.83
CHOLAFIN,2023-03,OPM_CROSSCHECK_MISMATCH,source=3515.0,computed=28.10
CHOLAFIN,2024-03,OPM_CROSSCHECK_MISMATCH,source=4548.0,computed=28.10
CIPLA,2013-03,OPM_CROSSCHECK_MISMATCH,source=2214.0,computed=73.26
CIPLA,2014-03,OPM_CROSSCHECK_MISMATCH,source=2147.0,computed=78.90
CIPLA,2015-03,OPM_CROSSCHECK_MISMATCH,source=2163.0,computed=80.94
CIPLA,2016-03,OPM_CROSSCHECK_MISMATCH,source=2480.0,computed=82.02
CIPLA,2017-03,OPM_CROSSCHECK_MISMATCH,source=2496.0,computed=82.66
CIPLA,2018-03,OPM_CROSSCHECK_MISMATCH,source=2826.0,computed=81.35
CIPLA,2019-03,OPM_CROSSCHECK_MISMATCH,source=3097.0,computed=81.07
CIPLA,2020-03,OPM_CROSSCHECK_MISMATCH,source=3206.0,computed=81.29
CIPLA,2021-03,OPM_CROSSCHECK_MISMATCH,source=4252.0,computed=77.80
CIPLA,2022-03,OPM_CROSSCHECK_MISMATCH,source=4553.0,computed=79.08
CIPLA,2023-03,OPM_CROSSCHECK_MISMATCH,source=5027.0,computed=77.91
CIPLA,2024-03,OPM_CROSSCHECK_MISMATCH,source=6291.0,computed=75.59
COALINDIA,2013-03,OPM_CROSSCHECK_MISMATCH,source=18087.0,computed=73.52
COALINDIA,2014-03,OPM_CROSSCHECK_MISMATCH,source=17766.0,computed=74.84
COALINDIA,2015-03,OPM_CROSSCHECK_MISMATCH,source=17343.0,computed=76.60
COALINDIA,2016-03,OPM_CROSSCHECK_MISMATCH,source=18714.0,computed=75.96
COALINDIA,2017-03,OPM_CROSSCHECK_MISMATCH,source=12448.0,computed=84.07
COALINDIA,2018-03,OPM_CROSSCHECK_MISMATCH,source=9288.0,computed=89.10
COALINDIA,2019-03,OPM_CROSSCHECK_MISMATCH,source=25007.0,computed=74.89
COALINDIA,2020-03,OPM_CROSSCHECK_MISMATCH,source=21581.0,computed=77.54
COALINDIA,2021-03,OPM_CROSSCHECK_MISMATCH,source=18628.0,computed=79.31
COALINDIA,2022-03,OPM_CROSSCHECK_MISMATCH,source=24721.0,computed=77.47
COALINDIA,2023-03,OPM_CROSSCHECK_MISMATCH,source=44232.0,computed=68.01
COALINDIA,2024-03,OPM_CROSSCHECK_MISMATCH,source=47971.0,computed=66.29
DLF,2020-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
DLF,2020-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
DLF,2020-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
DLF,2020-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
DLF,2023-03,CAGR_TURNAROUND,field=net_profit,window=3yr
DLF,2023-03,CAGR_TURNAROUND,field=eps,window=3yr
GODREJCP,2024-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
GODREJCP,2024-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
GODREJCP,2024-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=10yr
GODREJCP,2024-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
GODREJCP,2024-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
GODREJCP,2024-03,CAGR_DECLINE_TO_LOSS,field=eps,window=10yr
HDFCBANK,2013-03,OPM_CROSSCHECK_MISMATCH,source=3534.0,computed=35.22
HDFCBANK,2014-03,OPM_CROSSCHECK_MISMATCH,source=5602.0,computed=31.74
HDFCBANK,2015-03,OPM_CROSSCHECK_MISMATCH,source=7214.0,computed=31.90
HDFCBANK,2016-03,OPM_CROSSCHECK_MISMATCH,source=9037.0,computed=31.75
HDFCBANK,2017-03,OPM_CROSSCHECK_MISMATCH,source=11374.0,computed=32.56
HDFCBANK,2018-03,OPM_CROSSCHECK_MISMATCH,source=13374.0,computed=34.63
HDFCBANK,2019-03,OPM_CROSSCHECK_MISMATCH,source=16592.0,computed=33.15
HDFCBANK,2020-03,OPM_CROSSCHECK_MISMATCH,source=14593.0,computed=37.20
HDFCBANK,2021-03,OPM_CROSSCHECK_MISMATCH,source=16848.0,computed=40.81
HDFCBANK,2022-03,OPM_CROSSCHECK_MISMATCH,source=20795.0,computed=41.61
HDFCBANK,2023-03,OPM_CROSSCHECK_MISMATCH,source=29932.0,computed=36.92
